clean_content,kategori,emosi
ajuan nya di tolakk nunggu 3 bulan aplikasi taekk gak bermutu cuman ingin ngambil data nya orang dasar penipuan,Keamanan/Privasi,Takut
sangat membantu dan mudah diproses,Keamanan/Privasi,Senang
saya per tgl 12032025 telah menguninstal apk ini tolong di jaga baik2 data saya jika ada yg menyalahgunakan data saya saya tidak akan bertanggung jawab atas itu karna itu bkan saya,Keamanan/Privasi,Takut
terbantu sekali oleh akulaku tp sayang tenornya bisa gk ditambah lg jgan bln bln bln supanya ringan paylater nya kok gk bisa digunakan sh sya sudah bayar cicilan bln ini gak bisa ngebantu banget sangat mengecewakan paylater nya saldo di naikan tp tidak dapat di gunakan limit pinjaman ya ko berkurang juta jd juta bukan ya nambah malah kurang jd susah kan,Keamanan/Privasi,Kecewa
tolong di perbaiki dalam mengajukan pijaman nya,Keamanan/Privasi,Kecewa
limit pinjaman mlah turun nyesel gua lunasin,Keamanan/Privasi,Kecewa
aplikasi penipuan padahal sy selalu bayar tepat waktu giliran limit gua udah tinggi malah ada notif kulitas kredit tdk bagus padahal udah kali gua pinjam kecewa,Keamanan/Privasi,Kecewa
bagaimana cara hapus data seperti ktp yg terlanjur di daftarkan saya tidak mau data saya di salah gunakan,Keamanan/Privasi,Takut
sederhana sekali tidak ada iklan bug atau lemot jadi nyaman menjelajahi semua fitur fiturnya namun akhir akhir ini aplikasinya sering sekali macet ketika ingin dibuka pada saat jaringan yang digunakan kurang maksimal atau tidak baik biasanya cuma berputar putar loadingnya agak lama dan harus di refresh terlebih dahulu baru bisa login itu aja masalah yang sering saya hadapi di luar daripada itu aplikasinya berjalan dengan semestinya cukup satu aplikasi untuk semua layanan,Keamanan/Privasi,Kecewa
mau ngecek data nama gimana caranya,Keamanan/Privasi,Takut
kenapa ya saya tidak bisa mengajukan pinjaman padahal pembayaran saya baik limit pinjamannya tidak naik kali pinjaman di apk ini yg ke kalinya di tolak apa gara bayar nya kecepatan tolong dong di perjelas,Keamanan/Privasi,Kecewa
dari dulu paling suka pinjam di akulaku cairnya utuh sesuai pinjaman sangat membantu saya terimakasih akulaku,Keamanan/Privasi,Senang
katanya proses mudah setelah data masuk di tolak bagaimana ini tolong data saya di hapus dan jangan di salahgunakan,Keamanan/Privasi,Takut
tolong hapus data karna sering di tolak,Keamanan/Privasi,Takut
bagus tapi pinjaman saya sama paylater saya ga bisa di gunakan jadi kecewa aja,Keamanan/Privasi,Kecewa
apk buruk penipu,Keamanan/Privasi,Marah
aku laku pinjaman online memang ok walau pengajuan kredit sya tidak disetujui ditolak,Keamanan/Privasi,Kecewa
sudah saya un install aplikasi ini jangan salah gunakan data saya jika terjadi suatu hal saya tidak akan bertanggung jawab sama sekali,Keamanan/Privasi,Marah
pembayaran lancar tanpa tunggakan malah di gak bisa dipake lagi paylater dan pinjaman,Keamanan/Privasi,Kecewa
data aman ga sih kenapa data suamiku kebobol ya sampe di telfon platform lain untuk tanggung jawab udah data kesebar minta di bayar angsuran nya ngancam pulajangan pada percaya sama aplikasi ini dehburuk bangettudah di baikbaikin di telfon ga diangkat malah di blokir haduhhh,Keamanan/Privasi,Takut
kenapa dak bisa pinjaman play leterya bos,Keamanan/Privasi,Marah
knpa setelah bayar pinjaman limitnya malah turun trus ga lolos verifikasi,Keamanan/Privasi,Marah
awas penipuan sengaja kasih bintang lima biar banyak yang baca ulasan saya jangan pernah ikut event lucky draw giliran udah mau mencapai terus gw undang teman dan teman itu udah masukan nomber nya giliran dia mau download aplikasi busuk akulaku nya malah tidak bisa di download di playstore pun pencarian ga ada,Keamanan/Privasi,Marah
penipu aplikasi nyh katanya dapet uang rb tp susah harus ngajak ngajak orang banyak ihh ngeselin marah,Keamanan/Privasi,Marah
mengapa pinjaman dana pinjaman jangka pendek tdk bisa digunakan padahal saya bayar tepat waktu,Keamanan/Privasi,Kecewa
ga jelas limit tidak naik pinjaman tidak bisa padahal tidak ada telat atau pun nunggak pelayanan cs ga jelas buang waktu buang pulsa pagi siang sore telpon ganggu orang nyuruh ambil pinjaman pas pinjam koq ga bisa pikiran nya kemana,Keamanan/Privasi,Marah
event gak jelas lucky draw cuma modus buat nambah member dan yang download trs ada yg nelpon dari akulaku jadi ajang penipuan,Keamanan/Privasi,Takut
aplikasi gk bisa dibuka kalau ada sesuatu yang mengatas namakan saya dalam peminjaman berrti itu sudah penipuan terimakasih,Keamanan/Privasi,Marah
aplikasi aneh ini belum pernah minjem tapi tidak di acc di hapus data menolak hari ini atas nama muniroh 16 mei 2025 saya mau hapus tapi di tolak awas aja klw gunain data saya ,Keamanan/Privasi,Takut
